"id","source","target","cost","reverse_cost"
47773,22731,22732,93.45485157987684,93.45485157987684
47780,22731,60882,35.725803066450354,35.725803066450354
47781,60882,22736,50.73673205930932,50.73673205930932
60677,22730,22731,24.837640824637962,24.837640824637962
65509,22731,65939,31.768098204392516,31.768098204392516
186100,144218,144216,18.95992983929769,18.95992983929769
363731,22737,60882,59.22545656177083,59.22545656177083
67086,31991,78471,6.389069132319155,6.389069132319155
90030,78472,78473,5.7750121240306544,5.7750121240306544
26405,42517,22730,55.537068673239254,55.537068673239254
26439,60751,42516,41.789393516987985,41.789393516987985
26440,42516,42515,69.55543602461115,69.55543602461115
47784,22739,31991,59.85705579787427,59.85705579787427
47785,31991,42515,25.759669216463767,25.759669216463767
58117,27868,60752,41.81933081438847,41.81933081438847
94950,42516,27868,9.740396843167067,9.740396843167067
105825,144217,78472,25.413173920037995,25.413173920037995
105827,144220,42516,80.41190436370604,80.41190436370604
105829,144218,65939,43.49925194270761,43.49925194270761
120027,78472,144215,41.74773978888462,41.74773978888462
120028,27868,144219,8.211860178249818,8.211860178249818
120029,42515,144218,2.538475077673861,2.538475077673861
120030,65939,144216,41.19777245070708,41.19777245070708
186095,144219,144229,66.88578012096895,66.88578012096895
186097,144217,144219,69.6374899343976,69.6374899343976
186098,144216,144217,2.5237139645321,2.5237139645321
